Number of people who will provide maintenance,Loan History,Purpose of taking loan,loan amount taken,Guarantor or Debtor,Number of years of employment,Marital Status,Number of loans taken from current bank,Age of the applicant in Number of Years,amount in current account,amount in savings account,% of income paid as installment,Other loans plans taken,Working abroad or not,Is there telephone number available,time duration for loan,Owned property,Type of job performed,Type of Housing,Number of years of stay in current address,Loan Defaulted or not
2,existing loans paid back duly till now,New Car Purchase,2249,none,greater than 4 years,male and single,1,30,less than 0,between 100 and 500,4,none,Yes,Yes,18,car or other property,management/ self-employed/highly qualified employee/ officer,own,3,1
1,existing loans paid back duly till now,Old Car Repair,11560,none,between 1 and 4 years,female and divorced/seperated/married,2,23,between 0 and 200,less than 100,1,none,Yes,No,24,car or other property,management/ self-employed/highly qualified employee/ officer,rent,4,2
1,existing loans paid back duly till now,New Car Purchase,2255,none,less than a year,male and single,1,54,no current account,no savings account,4,none,Yes,No,24,building society savings agreement/life insurance,skilled employee / official,own,1,1
1,delay in paying off loans in the past,New Car Purchase,7432,none,between 1 and 4 years,female and divorced/seperated/married,1,54,between 0 and 200,less than 100,2,none,Yes,No,36,building society savings agreement/life insurance,skilled employee / official,rent,2,1
1,existing loans paid back duly till now,Purchase of radio/television,368,none,,male and single,1,38,between 0 and 200,no savings account,4,none,Yes,No,6,building society savings agreement/life insurance,skilled employee / official,own,4,1
2,critical account/other loans existing (not at this bank),New Car Purchase,3676,none,between 1 and 4 years,male and single,3,37,less than 0,less than 100,1,none,Yes,No,6,Real Estate,skilled employee / official,rent,3,1
1,existing loans paid back duly till now,Purchase of furniture/equipment,4351,none,between 1 and 4 years,female and divorced/seperated/married,1,48,between 0 and 200,no savings account,1,none,Yes,Yes,24,building society savings agreement/life insurance,unskilled - resident,own,4,1
1,existing loans paid back duly till now,Old Car Repair,4811,none,greater than 4 years,female and divorced/seperated/married,1,24,no current account,no savings account,2,stores,Yes,No,30,building society savings agreement/life insurance,unskilled - resident,rent,4,1
1,existing loans paid back duly till now,Purchase of domestic appliances,1236,none,less than a year,female and divorced/seperated/married,1,23,no current account,less than 100,1,none,Yes,Yes,9,Real Estate,skilled employee / official,rent,4,1
2,critical account/other loans existing (not at this bank),Purchase of radio/television,1898,none,between 1 and 4 years,male and single,2,34,no current account,no savings account,1,none,Yes,No,6,Real Estate,unskilled - resident,own,2,1
1,delay in paying off loans in the past,Loan for business establishment,3863,none,between 1 and 4 years,male and single,1,32,no current account,less than 100,1,none,Yes,No,24,No property,skilled employee / official,for free,2,1
2,existing loans paid back duly till now,Purchase of furniture/equipment,2712,none,,male and single,1,41,less than 0,less than 100,2,bank,Yes,No,36,building society savings agreement/life insurance,skilled employee / official,own,2,2
1,all loans at this bank paid back duly,Loan for business establishment,609,none,less than a year,female and divorced/seperated/married,1,26,greater than 200,less than 100,4,none,Yes,No,12,Real Estate,unemployed/ unskilled - non-resident,own,1,2
1,existing loans paid back duly till now,Loan for business establishment,1449,none,greater than 4 years,female and divorced/seperated/married,2,27,no current account,less than 100,3,none,Yes,No,9,car or other property,skilled employee / official,own,2,1
1,all loans at this bank paid back duly,New Car Purchase,1193,co-applicant,unemployed,female and divorced/seperated/married,2,29,less than 0,less than 100,1,none,Yes,No,24,No property,unemployed/ unskilled - non-resident,rent,4,2
1,existing loans paid back duly till now,Education Loan,1239,none,between 1 and 4 years,male and single,1,61,between 0 and 200,no savings account,4,none,Yes,No,18,No property,skilled employee / official,for free,4,1
2,existing loans paid back duly till now,Purchase of radio/television,1823,none,unemployed,male and single,1,30,less than 0,less than 100,4,stores,Yes,No,24,car or other property,management/ self-employed/highly qualified employee/ officer,own,2,2
1,critical account/other loans existing (not at this bank),Purchase of radio/television,9566,none,between 1 and 4 years,female and divorced/seperated/married,2,31,no current account,less than 100,2,stores,Yes,No,36,car or other property,skilled employee / official,own,2,1
1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,1520,none,,male and single,1,63,no current account,no savings account,4,none,Yes,No,15,building society savings agreement/life insurance,skilled employee / official,own,4,1
1,critical account/other loans existing (not at this bank),New Car Purchase,4843,co-applicant,,male and single,2,43,less than 0,less than 100,3,none,Yes,Yes,12,building society savings agreement/life insurance,skilled employee / official,rent,4,2
1,existing loans paid back duly till now,Purchase of radio/television,7174,none,greater than 4 years,female and divorced/seperated/married,1,30,less than 0,no savings account,4,none,Yes,Yes,42,car or other property,management/ self-employed/highly qualified employee/ officer,own,3,2
2,critical account/other loans existing (not at this bank),New Car Purchase,1231,none,,male and single,2,32,no current account,less than 100,3,none,No,No,10,Real Estate,unskilled - resident,own,4,1
2,critical account/other loans existing (not at this bank),New Car Purchase,2799,none,between 1 and 4 years,male and single,2,36,less than 0,less than 100,2,none,Yes,No,9,Real Estate,skilled employee / official,rent,2,1
2,existing loans paid back duly till now,Old Car Repair,4788,none,greater than 4 years,male and single,1,26,less than 0,less than 100,4,none,Yes,No,48,building society savings agreement/life insurance,skilled employee / official,own,3,1
1,critical account/other loans existing (not at this bank),New Car Purchase,860,none,,female and divorced/seperated/married,2,39,less than 0,less than 100,1,none,Yes,Yes,6,No property,skilled employee / official,own,4,1
1,critical account/other loans existing (not at this bank),Purchase of radio/television,3342,none,,male and single,1,51,no current account,no savings account,4,none,Yes,Yes,36,car or other property,skilled employee / official,own,2,1
2,no loans taken/all loans paid back duly,Purchase of furniture/equipment,7119,none,between 1 and 4 years,male and single,2,53,less than 0,less than 100,3,none,Yes,No,48,No property,skilled employee / official,for free,4,2
1,critical account/other loans existing (not at this bank),Purchase of radio/television,4933,gaurantor,greater than 4 years,male and single,2,25,between 0 and 200,less than 100,2,none,Yes,No,39,Real Estate,skilled employee / official,own,2,2
1,existing loans paid back duly till now,New Car Purchase,1371,none,between 1 and 4 years,female and divorced/seperated/married,1,25,less than 0,no savings account,4,none,Yes,No,24,Real Estate,skilled employee / official,rent,4,2
1,critical account/other loans existing (not at this bank),Old Car Repair,8858,none,greater than 4 years,male and single,2,35,no current account,no savings account,2,none,Yes,Yes,48,No property,skilled employee / official,for free,1,1
1,existing loans paid back duly till now,Purchase of furniture/equipment,4153,co-applicant,between 1 and 4 years,male and single,1,42,less than 0,less than 100,2,none,Yes,No,18,car or other property,skilled employee / official,own,3,2
1,existing loans paid back duly till now,New Car Purchase,6761,none,between 1 and 4 years,male and single,2,68,no current account,no savings account,2,none,Yes,No,18,car or other property,skilled employee / official,rent,4,2
2,critical account/other loans existing (not at this bank),Education Loan,2096,none,greater than 4 years,male and single,1,49,no current account,less than 100,2,none,Yes,No,12,Real Estate,unskilled - resident,own,3,1
1,existing loans paid back duly till now,Purchase of radio/television,10961,co-applicant,greater than 4 years,male and single,2,27,between 0 and 200,greater than 1000,1,bank,Yes,Yes,48,No property,skilled employee / official,own,2,2
2,critical account/other loans existing (not at this bank),Purchase of radio/television,522,none,,male and single,2,42,no current account,between 500 and 1000,4,none,Yes,Yes,12,building society savings agreement/life insurance,skilled employee / official,own,4,1
2,delay in paying off loans in the past,Purchase of radio/television,7238,none,,male and single,2,32,no current account,no savings account,3,bank,Yes,No,48,car or other property,skilled employee / official,own,3,1
2,existing loans paid back duly till now,Purchase of radio/television,1107,none,between 1 and 4 years,male and single,1,20,less than 0,less than 100,2,none,Yes,Yes,12,Real Estate,management/ self-employed/highly qualified employee/ officer,rent,2,1
2,existing loans paid back duly till now,Purchase of furniture/equipment,7882,gaurantor,greater than 4 years,male and single,1,45,less than 0,less than 100,2,none,Yes,No,42,building society savings agreement/life insurance,skilled employee / official,for free,4,1
2,no loans taken/all loans paid back duly,New Car Purchase,950,none,,male and single,2,33,less than 0,less than 100,4,none,Yes,No,15,car or other property,skilled employee / official,rent,3,2
1,existing loans paid back duly till now,Purchase of furniture/equipment,3599,none,greater than 4 years,female and divorced/seperated/married,1,26,less than 0,less than 100,1,none,Yes,No,21,car or other property,unskilled - resident,rent,4,1
2,existing loans paid back duly till now,Education Loan,9055,none,between 1 and 4 years,male and single,1,35,no current account,no savings account,2,none,Yes,Yes,36,No property,unskilled - resident,for free,4,1
1,existing loans paid back duly till now,Purchase of radio/television,4795,none,less than a year,female and divorced/seperated/married,1,30,between 0 and 200,less than 100,4,none,Yes,Yes,36,No property,management/ self-employed/highly qualified employee/ officer,own,1,1
1,existing loans paid back duly till now,Purchase of furniture/equipment,1574,none,between 1 and 4 years,male and single,1,50,no current account,less than 100,4,none,Yes,No,12,Real Estate,skilled employee / official,own,2,1
1,existing loans paid back duly till now,Old Car Repair,2670,none,,male and single,1,35,no current account,less than 100,4,none,Yes,Yes,24,car or other property,management/ self-employed/highly qualified employee/ officer,own,4,1
2,existing loans paid back duly till now,Purchase of furniture/equipment,3620,gaurantor,between 1 and 4 years,male and single,1,37,less than 0,less than 100,1,none,Yes,No,36,building society savings agreement/life insurance,skilled employee / official,own,2,1
2,delay in paying off loans in the past,New Car Purchase,1333,none,unemployed,male and single,2,43,less than 0,less than 100,4,none,Yes,No,24,Real Estate,skilled employee / official,for free,2,2
2,critical account/other loans existing (not at this bank),Loan for business establishment,7629,none,,male and divorced/seperated,2,46,no current account,no savings account,4,bank,Yes,No,48,car or other property,management/ self-employed/highly qualified employee/ officer,own,2,1
2,existing loans paid back duly till now,Old Car Repair,1300,none,,male and single,1,45,no current account,no savings account,4,bank,Yes,No,15,No property,skilled employee / official,for free,4,1
2,delay in paying off loans in the past,Old Car Repair,7057,none,greater than 4 years,male and single,2,36,between 0 and 200,no savings account,3,bank,Yes,Yes,20,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,rent,4,1
1,delay in paying off loans in the past,Purchase of furniture/equipment,2333,none,less than a year,male and single,1,29,between 0 and 200,no savings account,4,bank,Yes,No,24,building society savings agreement/life insurance,unskilled - resident,own,2,1
1,existing loans paid back duly till now,New Car Purchase,3973,none,unemployed,male and single,1,22,less than 0,less than 100,1,none,Yes,No,14,No property,skilled employee / official,for free,4,1
1,existing loans paid back duly till now,Purchase of radio/television,2415,gaurantor,between 1 and 4 years,male and single,1,34,between 0 and 200,less than 100,3,none,Yes,No,7,Real Estate,skilled employee / official,own,2,1
1,existing loans paid back duly till now,Purchase of furniture/equipment,7865,none,,male and single,1,53,less than 0,less than 100,4,none,Yes,Yes,12,No property,management/ self-employed/highly qualified employee/ officer,for free,4,2
1,existing loans paid back duly till now,Old Car Repair,3488,none,greater than 4 years,female and divorced/seperated/married,1,23,no current account,between 100 and 500,3,none,Yes,No,24,car or other property,skilled employee / official,own,4,1
1,critical account/other loans existing (not at this bank),Purchase of radio/television,1516,none,between 1 and 4 years,female and divorced/seperated/married,2,43,no current account,greater than 1000,4,none,Yes,No,24,Real Estate,unskilled - resident,own,1,1
1,existing loans paid back duly till now,Purchase of radio/television,5595,none,between 1 and 4 years,male and married/widowed,1,24,between 0 and 200,between 100 and 500,2,none,Yes,No,72,car or other property,skilled employee / official,own,2,2
1,existing loans paid back duly till now,Purchase of furniture/equipment,2212,none,greater than 4 years,male and single,1,39,less than 0,no savings account,4,none,Yes,Yes,20,car or other property,skilled employee / official,own,4,1
1,critical account/other loans existing (not at this bank),Purchase of radio/television,1471,none,between 1 and 4 years,male and single,2,35,no current account,less than 100,4,none,Yes,Yes,15,No property,skilled employee / official,for free,4,1
1,no loans taken/all loans paid back duly,Purchase of furniture/equipment,3244,none,between 1 and 4 years,female and divorced/seperated/married,2,33,between 0 and 200,less than 100,1,bank,Yes,Yes,18,car or other property,skilled employee / official,own,4,1
1,existing loans paid back duly till now,Loan for business establishment,4439,co-applicant,,male and single,1,33,between 0 and 200,less than 100,1,bank,Yes,Yes,18,Real Estate,management/ self-employed/highly qualified employee/ officer,own,1,1
1,existing loans paid back duly till now,Purchase of furniture/equipment,1123,none,between 1 and 4 years,female and divorced/seperated/married,1,29,no current account,between 500 and 1000,4,none,Yes,No,12,car or other property,unskilled - resident,rent,4,2
1,existing loans paid back duly till now,New Car Purchase,14896,none,,male and single,1,68,less than 0,less than 100,1,bank,Yes,Yes,6,No property,management/ self-employed/highly qualified employee/ officer,own,4,2
1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,6361,none,,male and single,1,41,between 0 and 200,less than 100,2,none,Yes,Yes,18,No property,skilled employee / official,own,1,1
1,existing loans paid back duly till now,Old Car Repair,2445,none,less than a year,male and married/widowed,1,26,no current account,no savings account,2,none,Yes,Yes,12,car or other property,skilled employee / official,rent,4,1
1,no loans taken/all loans paid back duly,Loan for business establishment,5293,none,unemployed,male and single,2,50,less than 0,less than 100,2,stores,Yes,Yes,27,building society savings agreement/life insurance,skilled employee / official,own,4,2
1,existing loans paid back duly till now,Education Loan,750,none,unemployed,female and divorced/seperated/married,1,27,less than 0,less than 100,4,none,Yes,No,18,Real Estate,unemployed/ unskilled - non-resident,own,1,2
1,existing loans paid back duly till now,New Car Purchase,3556,none,between 1 and 4 years,male and single,1,29,no current account,no savings account,3,none,Yes,No,15,No property,skilled employee / official,own,2,1
2,existing loans paid back duly till now,Purchase of radio/television,1346,none,,male and single,1,42,no current account,between 100 and 500,2,bank,Yes,Yes,6,No property,skilled employee / official,for free,4,1
1,existing loans paid back duly till now,Purchase of radio/television,2439,none,less than a year,female and divorced/seperated/married,1,35,less than 0,less than 100,4,none,Yes,Yes,24,Real Estate,skilled employee / official,own,4,2
1,existing loans paid back duly till now,New Car Purchase,900,none,between 1 and 4 years,male and married/widowed,1,23,less than 0,no savings account,4,none,Yes,No,12,car or other property,skilled employee / official,own,2,2
1,delay in paying off loans in the past,Purchase of radio/television,2320,none,unemployed,male and married/widowed,2,34,no current account,less than 100,2,none,Yes,No,18,Real Estate,skilled employee / official,own,3,1
1,critical account/other loans existing (not at this bank),Old Car Repair,3275,none,,male and single,1,36,no current account,less than 100,1,none,Yes,Yes,21,car or other property,management/ self-employed/highly qualified employee/ officer,own,4,1
1,existing loans paid back duly till now,Purchase of furniture/equipment,1577,none,less than a year,female and divorced/seperated/married,1,20,between 0 and 200,greater than 1000,4,none,Yes,No,11,Real Estate,skilled employee / official,own,1,1
1,existing loans paid back duly till now,Purchase of furniture/equipment,2473,none,unemployed,male and single,1,25,less than 0,less than 100,4,none,Yes,No,18,car or other property,unemployed/ unskilled - non-resident,own,1,2
1,critical account/other loans existing (not at this bank),New Car Purchase,1995,none,less than a year,male and single,1,27,between 0 and 200,between 100 and 500,4,none,Yes,No,12,car or other property,skilled employee / official,own,1,1
1,critical account/other loans existing (not at this bank),New Car Purchase,2625,gaurantor,,male and single,1,43,less than 0,less than 100,2,bank,Yes,Yes,16,building society savings agreement/life insurance,skilled employee / official,rent,4,2
2,critical account/other loans existing (not at this bank),Purchase of radio/television,2872,none,,male and single,1,36,no current account,between 100 and 500,3,none,Yes,Yes,24,Real Estate,skilled employee / official,own,4,1
1,all loans at this bank paid back duly,Purchase of radio/television,1546,gaurantor,greater than 4 years,male and single,1,24,less than 0,less than 100,4,bank,Yes,No,24,car or other property,unskilled - resident,rent,4,2
1,existing loans paid back duly till now,New Car Purchase,5324,none,,female and divorced/seperated/married,1,35,no current account,between 500 and 1000,1,none,Yes,No,15,No property,skilled employee / official,for free,4,1
1,existing loans paid back duly till now,Old Car Repair,2028,none,between 1 and 4 years,male and single,1,30,between 0 and 200,no savings account,4,none,Yes,No,12,car or other property,skilled employee / official,own,2,1
1,no loans taken/all loans paid back duly,New Car Purchase,8358,none,less than a year,female and divorced/seperated/married,2,30,between 0 and 200,between 500 and 1000,1,none,Yes,No,48,car or other property,skilled employee / official,own,1,1
2,critical account/other loans existing (not at this bank),Purchase of radio/television,1503,none,greater than 4 years,male and single,2,42,no current account,less than 100,2,none,Yes,No,4,Real Estate,unskilled - resident,own,1,1
1,critical account/other loans existing (not at this bank),Purchase of radio/television,1743,none,,male and single,2,48,between 0 and 200,less than 100,4,none,Yes,No,24,building society savings agreement/life insurance,unskilled - resident,own,2,1
1,delay in paying off loans in the past,New Car Purchase,717,none,,male and married/widowed,2,54,no current account,no savings account,4,none,Yes,Yes,24,car or other property,skilled employee / official,own,4,1
1,delay in paying off loans in the past,Purchase of radio/television,846,none,,male and single,1,36,no current account,no savings account,3,none,Yes,No,7,No property,skilled employee / official,for free,4,1
1,critical account/other loans existing (not at this bank),Purchase of radio/television,2611,co-applicant,,male and married/widowed,2,46,no current account,less than 100,4,none,Yes,No,24,Real Estate,skilled employee / official,own,3,1
1,existing loans paid back duly till now,Old Car Repair,5248,none,between 1 and 4 years,male and single,1,26,no current account,no savings account,1,none,Yes,No,21,car or other property,skilled employee / official,own,3,1
1,existing loans paid back duly till now,Old Car Repair,4686,none,between 1 and 4 years,male and single,1,32,no current account,less than 100,2,none,Yes,Yes,36,No property,management/ self-employed/highly qualified employee/ officer,for free,2,1
1,existing loans paid back duly till now,Purchase of radio/television,2606,none,less than a year,female and divorced/seperated/married,1,28,less than 0,less than 100,4,none,Yes,Yes,21,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,rent,4,1
1,existing loans paid back duly till now,Loan for business establishment,841,none,greater than 4 years,female and divorced/seperated/married,1,23,between 0 and 200,between 100 and 500,2,none,Yes,No,12,Real Estate,unskilled - resident,rent,4,1
1,delay in paying off loans in the past,Purchase of furniture/equipment,2064,none,unemployed,female and divorced/seperated/married,1,34,between 0 and 200,less than 100,3,none,Yes,Yes,24,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,own,2,2
1,existing loans paid back duly till now,Old Car Repair,9398,none,less than a year,male and married/widowed,1,28,between 0 and 200,less than 100,1,none,Yes,Yes,36,car or other property,management/ self-employed/highly qualified employee/ officer,rent,4,2
1,existing loans paid back duly till now,New Car Purchase,759,none,greater than 4 years,male and single,1,26,less than 0,less than 100,4,none,Yes,No,12,Real Estate,skilled employee / official,own,2,2
2,critical account/other loans existing (not at this bank),Purchase of radio/television,797,none,,female and divorced/seperated/married,1,33,no current account,no savings account,4,bank,Yes,No,12,building society savings agreement/life insurance,unskilled - resident,own,3,2
1,all loans at this bank paid back duly,Purchase of furniture/equipment,2746,none,,male and single,1,31,less than 0,less than 100,4,bank,Yes,No,36,car or other property,skilled employee / official,own,4,2
1,existing loans paid back duly till now,Purchase of radio/television,2171,none,less than a year,female and divorced/seperated/married,1,29,no current account,less than 100,2,bank,Yes,No,12,car or other property,skilled employee / official,own,2,1
1,existing loans paid back duly till now,Purchase of radio/television,1158,none,between 1 and 4 years,male and divorced/seperated,1,26,between 0 and 200,between 500 and 1000,3,none,Yes,Yes,12,car or other property,skilled employee / official,own,1,1
2,existing loans paid back duly till now,Purchase of furniture/equipment,708,gaurantor,between 1 and 4 years,male and single,1,38,less than 0,less than 100,2,none,Yes,No,12,building society savings agreement/life insurance,unskilled - resident,own,3,1
1,critical account/other loans existing (not at this bank),New Car Purchase,926,none,unemployed,female and divorced/seperated/married,1,38,no current account,less than 100,1,none,Yes,No,12,building society savings agreement/life insurance,unemployed/ unskilled - non-resident,own,2,1
1,critical account/other loans existing (not at this bank),Loan for business establishment,1264,none,,male and single,1,57,no current account,no savings account,4,none,Yes,No,12,No property,unskilled - resident,rent,4,1
1,existing loans paid back duly till now,New Car Purchase,1295,none,less than a year,female and divorced/seperated/married,1,25,between 0 and 200,less than 100,3,none,Yes,No,12,car or other property,skilled employee / official,rent,1,2
1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,6229,co-applicant,less than a year,female and divorced/seperated/married,2,23,less than 0,less than 100,4,none,Yes,Yes,36,No property,unskilled - resident,rent,4,2
2,existing loans paid back duly till now,Purchase of radio/television,1963,none,greater than 4 years,male and single,2,31,no current account,less than 100,4,none,Yes,Yes,12,car or other property,management/ self-employed/highly qualified employee/ officer,rent,2,1
1,existing loans paid back duly till now,New Car Purchase,1330,none,less than a year,male and single,1,26,greater than 200,less than 100,4,none,Yes,No,12,Real Estate,skilled employee / official,own,1,1
1,existing loans paid back duly till now,Old Car Repair,4113,none,less than a year,female and divorced/seperated/married,1,28,between 0 and 200,between 500 and 1000,3,none,Yes,No,24,car or other property,skilled employee / official,rent,4,2
1,existing loans paid back duly till now,Purchase of domestic appliances,1225,none,between 1 and 4 years,male and single,1,37,greater than 200,less than 100,2,none,Yes,Yes,10,car or other property,skilled employee / official,own,2,1
2,existing loans paid back duly till now,New Car Purchase,1240,none,,female and divorced/seperated/married,1,48,greater than 200,between 100 and 500,1,none,Yes,No,10,No property,unskilled - resident,for free,4,2
1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,7374,none,unemployed,male and single,2,40,between 0 and 200,less than 100,4,stores,Yes,Yes,18,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,own,4,1
1,existing loans paid back duly till now,Other repairs,1514,gaurantor,between 1 and 4 years,male and single,1,22,between 0 and 200,between 100 and 500,4,none,Yes,No,15,Real Estate,skilled employee / official,own,2,1
1,existing loans paid back duly till now,New Car Purchase,4817,co-applicant,greater than 4 years,male and single,1,31,less than 0,less than 100,2,none,Yes,Yes,24,building society savings agreement/life insurance,skilled employee / official,own,3,2
1,existing loans paid back duly till now,Old Car Repair,8588,none,,male and single,1,45,no current account,between 100 and 500,4,none,Yes,Yes,39,car or other property,management/ self-employed/highly qualified employee/ officer,own,2,1
1,existing loans paid back duly till now,Purchase of radio/television,1414,gaurantor,between 1 and 4 years,male and single,1,33,between 0 and 200,less than 100,4,none,No,No,8,Real Estate,skilled employee / official,own,2,1
1,existing loans paid back duly till now,Purchase of radio/television,1484,none,between 1 and 4 years,male and married/widowed,1,25,between 0 and 200,no savings account,2,none,Yes,Yes,12,Real Estate,skilled employee / official,own,1,2
1,critical account/other loans existing (not at this bank),,6314,co-applicant,unemployed,male and single,2,27,no current account,less than 100,4,bank,Yes,Yes,24,No property,management/ self-employed/highly qualified employee/ officer,own,2,1
1,critical account/other loans existing (not at this bank),Purchase of radio/television,1957,none,greater than 4 years,female and divorced/seperated/married,1,31,less than 0,less than 100,1,none,Yes,No,6,car or other property,skilled employee / official,own,4,1
1,delay in paying off loans in the past,Purchase of furniture/equipment,3643,none,,female and divorced/seperated/married,2,27,less than 0,less than 100,1,none,Yes,No,15,building society savings agreement/life insurance,unskilled - resident,own,4,1
1,existing loans paid back duly till now,New Car Purchase,14318,none,,male and single,1,57,between 0 and 200,less than 100,4,none,Yes,Yes,36,No property,management/ self-employed/highly qualified employee/ officer,for free,2,2
1,critical account/other loans existing (not at this bank),Old Car Repair,7758,none,,female and divorced/seperated/married,1,29,between 0 and 200,greater than 1000,2,none,Yes,No,24,No property,skilled employee / official,rent,4,1
1,existing loans paid back duly till now,Purchase of furniture/equipment,3650,none,less than a year,female and divorced/seperated/married,1,22,less than 0,less than 100,1,none,Yes,No,18,car or other property,skilled employee / official,rent,4,1
2,existing loans paid back duly till now,Old Car Repair,5493,none,,male and single,1,42,less than 0,less than 100,2,none,Yes,No,36,No property,skilled employee / official,for free,4,1
1,existing loans paid back duly till now,New Car Purchase,3512,none,greater than 4 years,male and single,2,38,between 0 and 200,between 100 and 500,2,bank,Yes,Yes,24,car or other property,skilled employee / official,own,3,1
1,critical account/other loans existing (not at this bank),New Car Purchase,2022,none,between 1 and 4 years,female and divorced/seperated/married,1,37,no current account,less than 100,4,none,Yes,Yes,24,car or other property,skilled employee / official,own,4,1
1,existing loans paid back duly till now,Loan for business establishment,7409,none,,male and single,2,37,no current account,no savings account,3,none,Yes,No,36,building society savings agreement/life insurance,skilled employee / official,own,2,1
1,delay in paying off loans in the past,New Car Purchase,2353,none,between 1 and 4 years,male and divorced/seperated,2,47,between 0 and 200,less than 100,1,none,Yes,No,21,building society savings agreement/life insurance,skilled employee / official,own,4,1
2,critical account/other loans existing (not at this bank),New Car Purchase,1343,none,,male and single,2,46,greater than 200,less than 100,1,none,No,No,6,Real Estate,skilled employee / official,own,4,1
1,no loans taken/all loans paid back duly,Purchase of furniture/equipment,3114,none,less than a year,female and divorced/seperated/married,1,26,less than 0,less than 100,1,none,Yes,No,18,building society savings agreement/life insurance,skilled employee / official,rent,4,2
1,existing loans paid back duly till now,Purchase of furniture/equipment,3749,none,less than a year,female and divorced/seperated/married,1,26,greater than 200,less than 100,2,none,Yes,No,24,car or other property,skilled employee / official,own,4,1
1,existing loans paid back duly till now,Purchase of furniture/equipment,929,none,greater than 4 years,male and single,1,31,no current account,no savings account,4,stores,Yes,Yes,24,car or other property,skilled employee / official,own,2,1
2,critical account/other loans existing (not at this bank),Education Loan,1136,none,,male and single,2,32,between 0 and 200,greater than 1000,4,none,Yes,No,9,No property,skilled employee / official,for free,3,2
2,no loans taken/all loans paid back duly,Old Car Repair,4605,none,,male and single,2,24,less than 0,less than 100,3,none,Yes,No,48,No property,skilled employee / official,for free,4,2
1,delay in paying off loans in the past,Loan for business establishment,4455,none,between 1 and 4 years,male and divorced/seperated,2,30,between 0 and 200,less than 100,2,stores,Yes,Yes,36,Real Estate,management/ self-employed/highly qualified employee/ officer,own,2,2
2,existing loans paid back duly till now,Education Loan,1393,none,,male and single,3,47,no current account,less than 100,4,bank,Yes,Yes,12,building society savings agreement/life insurance,skilled employee / official,own,4,1
1,existing loans paid back duly till now,Purchase of radio/television,1413,none,between 1 and 4 years,male and married/widowed,1,28,no current account,less than 100,4,none,Yes,No,24,building society savings agreement/life insurance,skilled employee / official,own,2,1
1,critical account/other loans existing (not at this bank),Loan for business establishment,5954,none,greater than 4 years,female and divorced/seperated/married,2,41,between 0 and 200,less than 100,2,bank,Yes,No,42,Real Estate,unskilled - resident,own,1,1
1,critical account/other loans existing (not at this bank),Education Loan,1047,none,between 1 and 4 years,female and divorced/seperated/married,1,50,greater than 200,less than 100,2,none,Yes,No,6,building society savings agreement/life insurance,unskilled - resident,own,4,1
1,existing loans paid back duly till now,Purchase of radio/television,2753,co-applicant,,male and single,1,35,no current account,between 100 and 500,3,none,Yes,Yes,9,car or other property,skilled employee / official,own,4,1
1,delay in paying off loans in the past,Old Car Repair,3594,none,less than a year,female and divorced/seperated/married,2,46,no current account,less than 100,1,none,Yes,No,15,building society savings agreement/life insurance,unskilled - resident,own,2,1
1,critical account/other loans existing (not at this bank),Education Loan,1864,none,between 1 and 4 years,female and divorced/seperated/married,2,30,no current account,between 100 and 500,4,none,Yes,No,18,Real Estate,skilled employee / official,own,2,2
1,existing loans paid back duly till now,Purchase of radio/television,1331,none,less than a year,male and single,1,22,between 0 and 200,less than 100,2,stores,Yes,No,12,car or other property,skilled employee / official,own,1,2
2,existing loans paid back duly till now,Purchase of radio/television,2522,gaurantor,,male and single,1,39,less than 0,less than 100,1,none,Yes,No,30,building society savings agreement/life insurance,skilled employee / official,own,3,1
1,existing loans paid back duly till now,Purchase of domestic appliances,343,none,less than a year,female and divorced/seperated/married,1,27,less than 0,less than 100,4,none,Yes,No,6,Real Estate,skilled employee / official,own,1,1
1,critical account/other loans existing (not at this bank),Old Car Repair,4042,none,greater than 4 years,male and single,2,43,no current account,no savings account,3,none,Yes,Yes,24,building society savings agreement/life insurance,skilled employee / official,own,4,1
1,critical account/other loans existing (not at this bank),Purchase of radio/television,1237,none,between 1 and 4 years,female and divorced/seperated/married,2,27,no current account,between 100 and 500,1,none,Yes,No,6,building society savings agreement/life insurance,skilled employee / official,own,1,1
1,existing loans paid back duly till now,Old Car Repair,2779,none,between 1 and 4 years,male and married/widowed,1,21,between 0 and 200,less than 100,1,none,Yes,Yes,18,car or other property,skilled employee / official,rent,3,1
1,existing loans paid back duly till now,New Car Purchase,1364,none,between 1 and 4 years,female and divorced/seperated/married,1,64,no current account,less than 100,2,none,Yes,Yes,10,car or other property,skilled employee / official,own,4,1
1,delay in paying off loans in the past,New Car Purchase,2247,none,between 1 and 4 years,female and divorced/seperated/married,2,36,greater than 200,less than 100,2,stores,Yes,Yes,12,car or other property,skilled employee / official,own,2,1
